feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
135.80373300114081,255.47978724957369,207.5479280891856,51.677590222888291,119.67605424843288,12451,12548,12513,44.168867869675907,97
118.45448573838081,444.1837371729199,290.25195583875433,133.57712737427406,325.72925143453909,12397,12858,12688,206.73815967708202,461
742.73036092944835,882.70209415419595,800.47264671937546,59.708945949231264,139.9717332247476,12205,12886,12561,278.95559184612563,681
285.66045515340357,715.44417207094318,534.91934466667487,182.06553637333849,429.78371691753961,12151,12484,12323,136.19675310210431,333
273.79173473889585,286.28181634272772,280.63598456160202,5.168990163747905,12.490081603831868,12183,12717,12370,245.18065901607238,534
214.93605101417731,262.67942750995957,235.81607785286096,19.945051412426885,47.743376495782258,12077,12833,12568,347.9888248524976,756
346.5157545144919,824.82882275622705,518.49481445868321,217.15476343379268,478.31306824173515,12434,12694,12541,110.87931377052359,260
124.37397943775068,618.04024622964027,441.65921367269556,224.82154594247439,493.6662667918896,12405,12499,12457,39.02136167109839,94
82.498034632613241,184.54339778775127,148.04815979565944,46.450359788729791,102.04536315513803,12529,13027,12719,219.58496204329558,498
179.54222744856804,619.18379253275396,340.07665436601883,198.10063490925134,439.64156508418591,12105,12311,12225,87.731914882150434,206
179.67241745025893,757.05180395838966,408.10983242678986,250.64284031801995,577.37938650813066,12372,12771,12514,181.850365838388,399
260.02903181901314,755.03264258204604,584.27658483967946,229.38595279453696,495.0036107630329,12386,12695,12580,138.34819197308732,309
667.34411622589448,735.3362803063477,700.62978680035314,27.775860591982891,67.992164080453222,12293,12445,12366,62.198606629623676,152
238.72349441513308,685.26961968673686,527.24579994087708,204.32531510951307,446.54612527160378,12203,12622,12474,192.32668965995217,419
235.24478462242115,678.2587114005886,383.08223671909701,208.72138608208388,443.01392677816744,12226,12489,12371,109.05350368817439,263
234.84721856985698,649.46088517276121,373.06545946856295,195.44108052309852,414.61366660290423,12081,12604,12407,232.1823995626427,523
256.90112020673195,273.17825875830141,266.02697586807773,6.7902141879860292,16.277138551569465,12492,12634,12567,58.246602189884577,142
685.67579348889706,748.06972095713172,712.81781711609585,26.109744847979893,62.393927468234665,12432,12522,12465,40.472212689696121,90
308.32392651664344,377.9193083412386,333.35502930092821,31.591539202920764,69.595381824595165,12075,12641,12348,231.47258056961209,566
174.73464715988013,709.94711464769114,380.187850275855,235.51658680060061,535.21246748781095,12209,12740,12413,233.57653991786077,531
628.48738512978571,677.68278856239874,655.36397846950933,20.340877903345781,49.195403432613034,12180,12718,12401,229.7496221735498,538
212.86807106708173,602.16238478178468,382.74033137918917,162.74499924551299,389.29431371470298,12184,12836,12532,268.10114177717003,652
280.6879546047781,399.27328908287512,355.44452424232617,53.12260799629162,118.58533447809702,12401,12615,12519,88.823170150336082,214
101.57825027927568,361.38809788762495,252.03986136449245,109.97885070770074,259.80984760834929,11971,12888,12420,374.60468051889939,917
130.95983480927723,428.34827993889121,279.0202785895388,121.41163275072554,297.38844512961396,12446,12634,12548,77.650212849389888,188
115.69306310807244,295.37190239715994,184.08347311961015,79.378004362160652,179.67883928908751,12663,12766,12713,42.081930669693477,103
674.60109972222222,774.24581057715375,722.42719080671498,40.777627152821637,99.644710854931532,12610,12966,12771,147.31146142329411,356
137.426352222893,718.25432632885634,393.82397041276005,241.95264540525807,580.82797410596334,12537,12777,12635,102.51937486261913,240
256.61990412424888,608.53844493601594,448.68033919014533,145.46341430521829,351.91854081176706,12615,12883,12746,109.47551730359118,268
158.75015669173197,501.03356248872706,299.11039603609896,146.36023587163379,342.28340579699511,12205,12759,12518,231.93294049981105,554
221.73276325773824,528.92550812917659,401.05523345579826,130.58162694561261,307.19274487143832,12309,12665,12505,147.71443922499776,356
234.80769201160771,611.32142169613155,427.84404415446255,153.85962792278607,376.51372968452381,12344,12735,12602,182.92135529298437,391
201.69275970626498,259.36242386298017,230.18492807578104,23.548528563219559,57.669664156715186,12262,12780,12497,214.17905281951982,518
175.49197643780903,498.38538371302582,283.86489490738956,151.69161288973905,322.89340727521676,12536,12808,12679,111.48393008262073,272
500.18139411381742,524.50793247426952,513.1907250603324,10.003085480249405,24.326538360452105,12223,12916,12476,312.0922228373459,693
136.93625507886594,516.56766845907805,378.88690610815729,171.62781392694723,379.63141338021211,12422,12513,12457,39.668067202165972,91
286.37992436871593,573.13326755597109,476.4698995093442,134.42040554937984,286.75334318725515,12283,12644,12413,163.3612221088251,361
162.70286306519594,173.83813785116175,167.93973609621878,4.5699599800705766,11.135274785965805,12166,12528,12371,151.73954293093442,362
97.538428000577412,528.26342379704954,378.69351160571279,198.94220015365738,430.72499579647211,12177,12770,12543,261.46042827845969,593
260.5365641012562,744.7403016938589,453.72957934166681,209.42706406307059,484.20373759260269,12407,12861,12566,208.59104060870453,454
783.38640833315719,849.10068002137848,812.30536053877211,27.399747529127449,65.714271688221288,12355,12835,12571,198.87684631449685,480
276.17727222548916,780.40138019096651,583.39852854835306,220.1083980089355,504.22410796547734,12201,13054,12607,349.44050518889003,853
0,0,0,0,0,0,0,0,0,0
142.7761466601215,146.50802145449882,144.60625935771438,1.5243736631877314,3.7318747943773189,12339,12718,12532,154.80525400213867,379
684.27308726953629,713.15845479087227,695.89401961376382,12.449309415364233,28.885367521335979,12187,12805,12459,257.47664403246796,618
363.74412618481557,710.73914677010578,592.25704959169161,161.61986907170993,346.99502058529021,12465,12796,12608,138.82603022008036,331
0,0,0,0,0,0,0,0,0,0
126.20361582090376,2318.8639317460038,861.38432317647221,1030.60713248045,2192.6603159250999,12313,12729,12470,184.51196889813588,416
90.580263347118219,357.30955029980555,258.97716769573168,119.63250961462649,266.72928695268735,12303,12655,12429,160.15825506874964,352
250.44293618041664,367.7012158765948,295.7616293938076,51.438507029735533,117.25827969617816,12139,12504,12351,154.99749101912013,365
0,0,0,0,0,0,0,0,0,0
251.02072066856351,548.61917107721706,435.91106552115389,131.77990786105892,297.59845040865355,12413,12585,12504,70.573838401114813,172
138.77465139430657,287.25204063234412,235.84751186317706,68.680813278583756,148.47738923803755,12239,12703,12473,189.44832188928638,464
126.54743779300321,131.75269480873561,128.49173270369792,2.3200408797335372,5.2052570157323999,12305,12836,12603,221.69699040707692,531
0,0,0,0,0,0,0,0,0,0
122.99609190074126,134.05332582755875,129.02640926070717,4.569516049635002,11.057233926817489,12543,12717,12632,71.111805552164739,174
128.99890988314971,2232.1333701793797,831.89525431157824,990.12046377095965,2103.1344602962299,12146,12921,12549,317.18378829245916,775
130.56984163203867,640.31145506471717,460.72269542061844,233.75384196542976,509.74161343267849,12081,12595,12399,227.24045023327653,514
0,0,0,0,0,0,0,0,0,0
267.69444934587835,284.08149255251459,277.9613371771124,7.3043520729871458,16.387043206636235,12281,12941,12550,282.63089396281902,660
276.72804619271716,283.0250247503688,279.69395547588101,2.5836654973543447,6.2969785576516415,12197,12397,12308,83.118389461458335,200
250.79287466748525,972.39411547342957,497.51058554148858,335.87876624654746,721.60124080594437,12075,12301,12215,100.03443851438807,226
184.88046702711617,913.68803611604119,648.41301284072824,328.90692920905474,728.80756908892499,12400,12430,12418,13.123346456686352,30
173.17125621109767,291.97191757666991,216.29999346408476,53.682359259247526,118.80066136557224,12482,12812,12648,134.74255287605158,330
296.96463287821166,654.51593523205304,535.25639015662171,168.49774303173561,357.55130235384138,12223,12704,12453,196.92807485644769,481
144.05694842002427,281.88718804452515,234.47837021427958,63.962785084038728,137.83023962450088,12360,12741,12606,174.43687173938378,381
219.6244612082632,731.50305325452769,432.74026702181533,217.57217528903908,511.87859204626449,12178,12689,12476,217.36349483960939,511
71.94173069877759,130.18472135232696,98.473560318105854,24.057993758088415,58.24299065354937,12345,12610,12446,116.64285471281795,265
319.34653113007465,686.31519731977619,546.42606697925942,162.00437360523458,366.96866618970154,12399,12796,12546,177.30262892078679,397
196.50942942778155,692.329615694974,363.075675752329,232.8230780637096,495.82018626719241,12025,12627,12305,247.44202463517703,602
185.26610326495069,422.25424305454908,295.61179248051303,97.433850802531111,236.98813978959839,12166,12611,12400,182.43963994215244,445
121.61646792317451,543.61283448567247,305.35080198145141,176.5411864529944,421.99636656249794,11854,12478,12250,281.08361745217383,624
126.62057302774751,295.72732376278799,228.03226525258643,73.038263158548361,169.10675073504046,12432,12592,12532,71.369149886737162,160
356.92695006721459,695.75795646037818,471.12623482720807,158.84605767568823,338.83100639316359,12183,12623,12403,179.62924780409972,440
132.98133823605059,680.61916231365262,383.78480331723682,225.92908767441313,547.63782407760209,12044,12640,12425,270.14934141446037,596
290.30800478882639,323.32814085076797,306.12048792861498,13.516464538443488,33.020136061941571,12373,12802,12615,179.404570733301,429
259.04515283448967,280.81208003981226,270.17226983864936,8.8929890337140804,21.766927205322588,12309,12756,12478,197.7310181927852,447
243.36848243172568,251.90642784773414,248.09072263258918,3.544054386521533,8.5379454160084549,12304,12999,12573,304.33570645295998,695
232.93001415335229,470.28551533286685,314.68343165949938,110.07460381048486,237.35550117951456,12559,12733,12621,79.347337699509495,174
113.75291843822774,390.48493325353428,270.45088320388658,115.91184577848222,276.73201481530657,12274,12453,12356,73.842174038056783,179
217.10271724683605,2391.3712033111074,1021.1026107688946,973.77480010884722,2174.2684860642712,12333,12424,12367,40.367753907736251,91
296.24987506487867,2097.7678678272928,997.8663814308469,787.54469229798337,1801.517992762414,12346,12521,12457,78.995077202457509,175
236.47884814697903,595.1746866851073,357.17869900557889,168.29431349271874,358.69583853812827,12664,13069,12877,166.09301276359849,405
213.43380090958513,720.89313334735027,429.00060272020579,214.08402739590471,507.45933243776517,12654,12810,12735,63.897487344095843,156
712.27858552459702,731.302694596023,724.05254220130462,8.3995152787402585,19.024109071425983,12593,12925,12708,153.31304213565423,332
257.13250325385349,734.33414958076673,508.10312776801948,195.60059435943631,477.20164632691325,12514,12635,12593,56.120901236130869,121
644.8759008312245,699.28740663314636,666.59197185843959,23.531012333131002,54.411505801921862,12385,12550,12479,69.523776908015833,165
228.71416927864996,241.27569242367156,233.42891250518724,5.5860067018998594,12.561523145021596,12374,12722,12529,144.41683496816506,348
187.7992099694934,748.32926062000865,533.34917331673512,246.75879426161657,560.53005065051525,12279,12714,12452,188.09631102768131,435
167.07464827777164,3052.7368727715511,1326.9030909282653,1244.195362865403,2885.6622244937794,12486,12730,12568,114.55420841971134,244
289.48657742413377,627.52900887195199,510.56526495968063,156.41422032335936,338.04243144781822,12201,12853,12452,286.3579733286449,652
252.70235957639559,268.61206736857639,258.10837607396712,7.4282979997847889,15.909707792180797,12412,12441,12424,12.229290885229428,29
238.61495179075925,725.98824880350628,407.77178340297161,225.16255384218221,487.373297012747,12140,12467,12354,151.84714536518479,327
703.72580442190224,756.08635488093705,731.59893461681577,21.509751042955401,52.360550459034812,12362,12674,12468,145.68459081179449,312
257.84707503486464,275.25766135004648,268.49786893046638,7.621769187636203,17.410586315181831,12408,12813,12609,165.34878960011235,405
131.89861586155135,277.39965481456005,221.30744130519875,63.901672159582297,145.5010389530087,12180,12626,12410,182.40126705212938,446
205.85772847483483,601.57163873289971,452.68121212142313,175.76601385196508,395.71391025806486,12299,12638,12487,140.93576156848513,339
257.05617132483508,683.70789430655782,425.96115651533779,185.16220984980254,426.65172298172274,12424,12569,12474,66.984243586748732,145
159.59788716719279,278.11775616661873,228.83545238479778,50.401052774309768,118.51986899942594,12208,12667,12406,192.39253854785764,459
213.50354699008685,256.12316235684915,240.21988998490153,19.005258495550169,42.619615366762304,12122,12592,12343,192.89548119815214,470
78.133130630812659,561.1919065733191,371.70433687433507,210.49386024461589,483.05877594250643,12437,12873,12682,182.24586567479537,436
589.3597604242409,628.92170985560574,608.94747039653714,16.153410671549121,39.561949431364837,11982,12613,12288,257.9073907863484,631
187.08982153402852,612.37722194621153,458.1712912128678,192.28843255239971,425.28740041218305,12486,12778,12599,127.84713093725995,292
250.34037495522293,770.46223130189628,424.11736059631039,244.90330415506554,520.12185634667333,12567,12760,12662,78.80073321711896,193
250.96717056638141,254.64101799748042,253.30049750477986,1.6560066859189979,3.6738474310990057,12273,12622,12452,142.64252132126973,349
135.44036407944998,251.16532336279883,210.8298328164467,53.3519920935531,115.72495928334885,12383,12785,12569,165.42134754082443,402
148.03324995851037,364.54492539156064,246.61803460781468,89.442399349129076,216.51167543305027,12150,12280,12221,53.822754378505088,130
0,0,0,0,0,0,0,0,0,0
135.08495072408098,339.45893526010315,203.77756993476802,95.943735137812737,204.37398453602216,12311,12781,12526,193.88198013797523,470
162.11504929477036,616.22292532677477,327.3669875375378,204.95845480891541,454.10787603200441,12498,12570,12533,29.427877939124322,72
150.91174781405613,301.57497722056581,226.012422987718,61.508872926316506,150.66322940650969,12405,12601,12495,80.81254028099022,196
531.40975152133819,716.31329367771184,643.69583244049579,80.529619876152182,184.90354215637365,12223,12842,12485,261.48167558486136,619
263.21856187892587,815.63353401027678,612.78565287536003,248.24110627306305,552.41497213135085,11784,12816,12382,437.10588597679111,1032
745.80959398540529,767.83694828625039,755.31172926221245,9.2432087098516806,22.027354300845104,12589,12681,12628,38.724095283886946,92
153.12562025249957,2856.5904254142824,1202.4785735078369,1183.6329617778154,2703.4648051617828,12306,12681,12509,154.79089838301934,375
158.37315465010383,2252.167223996244,962.57862665610173,921.11924127719885,2093.7940693461401,12103,12613,12425,228.94880553424071,510
591.45145144517608,742.29334844009566,691.25628177717954,70.57875295119841,150.84189699491958,12212,12639,12452,178.40465863374257,427
138.62764466354156,758.21457969235212,346.44342446147965,291.17044136907259,619.58693502881056,12405,12793,12611,159.35773871666504,388
121.33987295148998,2347.0958509995235,865.44691998580686,1047.6874347571581,2225.7559780480333,12608,12781,12670,78.461597117457544,173
143.69682312133696,1604.2642525705451,632.08211491663178,687.43913429434031,1460.567429449208,12619,12716,12675,40.995934757810645,97
150.92998466747986,452.19875409780354,251.35945554524992,142.01483016167759,301.26876943032369,12209,12761,12482,225.38460955047978,552
135.47256982592242,442.75775599908104,243.02520317744498,141.37161331164432,307.28518617315865,12251,12717,12531,201.83381502832691,466
156.95709880778293,343.22417714934659,232.51797833146551,80.001046741876749,186.26707834156366,12212,12725,12449,211.17817648190407,513
136.62368187322755,147.51669102545617,142.14575212782242,4.4483362142810785,10.893009152228615,12211,12536,12375,132.70602431272249,325
131.59225088867922,246.18684989067236,170.56627940525021,53.480259964545041,114.59459900199315,12420,12548,12470,55.553777749332426,128
67.668708021632483,239.57281537495234,142.95112128079464,71.783374171421869,171.90410735331986,12226,13244,12612,450.53153792677671,1018
0,0,0,0,0,0,0,0,0,0
66.382450472691389,194.99457269633626,126.59802337039254,52.823389877383157,128.61212222364486,12406,12685,12509,124.66577539788359,279
251.29946112324637,719.49934471770291,506.3465563905404,193.42377045399761,468.19988359445654,12418,12810,12551,182.70620010157168,392
144.66235436809524,253.1755182795618,201.12164342085521,44.409701951901432,108.51316391146656,12496,12596,12556,43.204937989385733,100
212.44217881848556,274.9622141529448,233.93361009845589,29.02257218754109,62.520035334459237,12069,12389,12279,148.99962714345594,320
194.2006204136263,204.36640435630642,198.55413535727823,4.2764286765065087,10.165783942680122,12144,12655,12366,213.82287581599454,511
71.512853189747375,197.04864699655542,154.34701777493947,58.581989141759692,125.53579380680804,12564,12733,12674,78.069769366182243,169
66.576675211545563,438.35043600758871,262.73875217139926,152.4700436091436,371.77376079604312,12499,12612,12537,52.803619404565652,113
221.55167378798672,385.09562721846714,293.27271513132217,68.262825810580125,163.54395343048043,12475,12702,12574,94.714776507622545,227
159.24486774193784,474.22502528871985,352.8149588516074,138.34359829209532,314.98015754678204,12275,13047,12669,315.40591130936161,772
71.404052383656321,687.69612367995899,303.28436354152882,273.74362882297135,616.29207129630265,12533,12663,12609,55.577773335110223,130
227.50962955304297,230.24765489179154,228.70804041134218,1.1435356349887227,2.7380253387485709,12493,12733,12588,104.00427341647502,240
223.81199679040711,224.26556707725371,224.04976727940218,0.185819867487342,0.45357028684659895,12186,12867,12512,278.70454288048882,681
223.01038969703157,226.41534779308324,224.34299180590452,1.4852298945097628,3.4049580960516721,12431,12571,12507,57.85230236463272,140
231.2795933860572,260.67924388973586,249.75721014095129,13.137731624504815,29.399650503678657,12475,12699,12609,96.748241442530755,224
260.82473616915576,277.03803096074569,271.10675602912289,7.2990624088935814,16.213294791589931,12598,12881,12710,122.83593393900119,283
139.65008783364257,321.26720521704567,230.87558800060279,74.147222255211403,181.6171173834031,12319,12654,12476,137.56695339603428,335
199.46371811123049,286.14820348620935,244.49701764546697,35.469508228505426,86.684485374978863,12500,12622,12543,55.511760515728156,122
268.46841905757225,603.44482748783935,390.26242428309325,151.25294050060026,334.9764084302671,12333,12691,12539,151.29955570177842,358
0,0,0,0,0,0,0,0,0,0
703.39433910153502,792.94437463929364,744.13493727182504,37.001187734953412,89.550035537758617,12259,12609,12420,144.25209415002149,350
125.27796170529621,135.25402346877556,130.60609998235722,4.101013793217918,9.9760617634793505,12145,12664,12447,220.24077733244587,519
142.53972042246289,148.68717971710683,146.2280811379072,2.6559528101392171,6.1474592946439373,12340,12567,12444,93.574687935478693,227
132.76396776913222,274.48998026235785,185.34353726655411,63.374115811806966,141.72601249322562,12345,12891,12620,222.93546649697134,546
216.2935416297756,624.284772712983,352.53493641077262,192.15638501461743,407.99123108320737,12620,12783,12714,69.100570828965573,163
524.9515222760939,581.30059222478963,543.99689144297361,26.379656632103057,56.349069948695728,12396,12572,12502,76.386444405332071,176
135.7474491346637,328.73845685981684,201.30351276372235,90.122617033989897,192.99100772515314,11946,12642,12300,284.28194142826277,696
129.27596138860824,393.12492193144772,218.54153745996089,123.4596150367553,263.84896054283945,12264,12822,12594,238.94769302087852,558
122.09962517301162,126.31352561283494,124.10900650966897,1.7258424590373764,4.2139004398233197,12259,12731,12536,201.36423603896387,472
118.50469397400906,120.74344872269364,119.59294611425149,0.91502715689490477,2.2387547486845847,12228,12596,12399,151.24446730009296,368
109.5940672271681,303.00082525132291,176.76074309366004,89.32634553696839,193.40675802415481,12313,13142,12652,354.5986776938434,829
110.24479622186662,478.54172431242415,235.17724377473405,172.10513577059794,368.29692809055751,12342,12752,12603,185.17199212263895,410
269.03328198837909,529.59384053564941,358.71866918161226,120.87676081220032,260.56055854727032,12164,12556,12420,181.35845414231144,392
105.63099535923635,577.49357768516711,419.58628478914017,222.00121180825656,471.86258232593076,12330,12564,12444,95.62426470305536,234
105.50992516115564,558.19598947077611,256.41143271510299,213.39390667236538,452.68606430962046,12520,12673,12579,67.186308128963304,153
476.45275144688406,512.47305876143457,492.89656711945082,14.871132635763084,36.020307314550507,12246,12532,12415,122.41187306248796,286
