feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
138.04300823696033,674.78770806136833,351.79582602829743,232.34112573929696,536.74469982440803,12201,13235,12619,444.59294741244929,1034
122.77134940591576,1882.2126752989625,1273.2345691742519,813.96684659688208,1759.4413258930467,12185,12459,12330,112.52950230445744,274
155.24144796215742,266.66209293344917,228.92071840021882,52.104313980095213,111.42064497129175,11858,12468,12191,252.1600021150592,610
229.89585160557445,245.51785336619275,236.50018640233756,6.6020130194626416,15.622001760618303,12596,12730,12654,55.960303390488825,134
123.27391192046343,498.04847369287415,248.29369519177658,176.60333578230507,374.77456177241072,12490,12790,12607,130.73212646051806,300
119.7573570699616,3023.5253506319241,1087.9191249145629,1368.6803192394868,2903.7679935619626,12329,12646,12503,131.25801562825285,317
409.64182303383552,2952.1862237936525,1259.5465248353964,1196.8805883165053,2542.5444007598171,12539,12624,12577,35.279833710870392,85
196.97141724079668,442.25888045582957,353.05220231503966,110.74172515731281,245.28746321503289,11977,12677,12413,310.94837013383568,700
79.830468997736787,220.86702081675776,170.81850277916146,64.445637034916118,141.03655181902099,12643,12690,12671,20.368821489936252,47
205.24831322765672,406.8645634993552,336.46188951584946,92.864605646204737,201.61625027169848,12609,12831,12697,96.133009708193143,222
152.47461402973451,258.89941763368114,203.50280055396203,43.557411115853881,106.42480360394663,12204,12786,12502,237.82673431629917,582
170.34716507766788,475.54567096943146,275.50184108389743,141.51441774035831,305.1985058917636,12102,12863,12467,311.44930031494158,761
196.46427079838637,379.77904588027911,316.5665691987968,84.964367245882542,183.31477508189275,12073,12404,12250,136.1053513520562,331
197.04475629653584,481.94089424754827,356.71837595822188,118.83212569047993,284.89613795101241,12351,12515,12446,69.557330470786624,164
0,0,0,0.0,0,12226,13140,12556,414.11431594025657,914
0,0,0,0,0,0,0,0,0,0
214.86649650641201,1000.5480703244995,732.43465999905914,366.05522285360234,785.68157381808749,12239,12333,12295,40.581878824037815,94
268.22167612631802,426.92004545283214,331.12494149450521,68.836511102289919,158.69836932651413,12482,12799,12630,130.26383483786537,317
175.55649977062518,387.09662812937097,267.26778286046459,88.619991926874434,211.54012835874579,12461,12634,12542,71.053970097853551,173
0,0,0,0,0,0,0,0,0,0
214.86649650641201,1000.5480703244995,732.43465999905914,366.05522285360234,785.68157381808749,12239,12333,12295,40.581878824037815,94
268.22167612631802,426.92004545283214,331.12494149450521,68.836511102289919,158.69836932651413,12482,12799,12630,130.26383483786537,317
175.58906627494585,387.96443161369137,267.50633997887826,89.019689458060057,212.37536533874552,12490,12663,12550,79.734280930823942,173
552.8562828461196,605.83600283159933,584.02101347384132,22.616747906457995,52.979719985479733,12526,12720,12604,83.483864043032625,194
541.84449244202597,572.41444477055927,552.52237175790458,14.078506560320491,30.569952328533304,12420,12837,12604,173.72967507020786,417
478.23868933534987,551.16900885255438,517.10712463316224,29.967038294015449,72.930319517204509,12487,12602,12529,51.813769083774119,115
117.23486674793577,458.51580033354298,265.7341036477589,142.80259355905119,341.28093358560722,12343,12626,12459,120.89205469710939,283
435.00638307968251,470.2121504728762,451.21958120640812,14.506439774234515,35.205767393193696,12248,12491,12350,102.84076148211965,243
151.84211993414488,457.41118559200993,344.48112959749523,136.88986191580099,305.56906565786505,12178,12660,12392,200.26870837840733,482
140.90834229562387,407.46917201417233,293.21404969485906,112.09981936873206,266.56082971854846,12325,12602,12417,130.34398933420579,277
156.04659966560996,418.55136702256613,316.5574388250904,114.87778976716609,262.50476735695617,12205,12498,12392,133.03215985450871,293
276.23547578423614,474.19680886152872,347.07605097886403,90.084281170408374,197.96133307729258,12134,12798,12493,273.75292996909945,664
154.39231394662502,322.21737685234137,211.76145836505052,78.123693036986694,167.82506290571635,12342,12488,12435,66.384402451847748,146
392.7490278125648,3091.8109834679017,2074.6026918424568,1197.9284796153979,2699.061955655337,12263,12587,12424,132.28000604777731,324
124.8158674691273,342.2515105744709,198.30229870907831,101.79494851009852,217.43564310534362,12308,12733,12468,188.53882594545053,425
123.20979634100357,124.32529037560705,123.77062190243817,0.45541934347069968,1.1154940346034863,12534,12935,12749,165.04612150008924,401
125.6573938466904,200.4218126042463,150.77143181616245,35.108913086974809,74.764418757555902,12538,12790,12646,105.86889166427608,252
152.25609600452285,153.89811119186757,152.86004542391845,0.73729063556092511,1.6420151873447253,12103,12759,12427,267.86107510341168,656
63.77101024751672,2901.3448581392768,1026.2278765548508,1326.0637742514518,2837.5738478917601,12385,12534,12472,63.615162413444239,149
125.15983936317203,361.71695967867896,204.91619610858376,110.88041083442648,236.55712031550695,12325,12513,12400,81.011658968872425,188
159.42110909859014,413.0632259700788,321.42958664057488,114.88557859260698,253.64211687148867,12469,12738,12591,111.08655284156684,269
176.70966393523366,186.08729749897094,182.31168667964815,4.0403661718562818,9.3776335637372767,12230,12714,12500,201.70826017350461,484
448.92462214643103,501.43648602685579,466.54058682702902,24.675508299941104,52.511863880424755,11955,12852,12323,383.2078055340499,897
381.0364392167503,450.20491556348708,425.47944641462391,31.492385429580722,69.168476346736782,12547,12905,12711,147.55187411739493,358
94.884443814196274,429.93511364226623,271.90814589415095,137.44185382557345,335.05066982806994,12560,12656,12621,43.289721643826724,96
119.08772945064665,542.05831907986362,319.59448108218089,173.37361420564116,422.97058962921699,12403,12533,12467,53.07437129998705,130
128.30313493172869,332.48598979289847,235.74196934607369,83.699636953271892,204.18285486116977,12358,12570,12471,87.16778201963281,212
287.38356309816368,825.83897269825309,641.75960266273478,250.64486665587972,538.45540960008941,12270,12554,12418,116.28795676633453,284
769.93523586720937,793.77594304115564,782.23879983208656,9.7480042476964925,23.840707173946271,12410,12722,12540,132.44453765843102,312
198.39065636981744,587.51013481512973,374.4161521487419,161.00527251507947,389.11947844531232,12403,13007,12700,246.68333277030831,604
282.94630537979828,2762.1291957934523,1146.2374553906432,1143.5012571115956,2479.1828904136541,12284,12761,12481,203.11627759050288,477
246.52865734678318,368.85743453283789,300.62767908859928,50.93028344829456,122.32877718605471,12442,12670,12574,96.498704654518548,228
131.1822561173517,419.59026870431927,267.36519074165261,118.28724417918053,288.40801258696757,12518,12869,12716,146.99281917457358,351
0,0,0,0,0,0,0,0,0,0
282.94630537979828,2762.1291957934523,1146.2374553906432,1143.5012571115956,2479.1828904136541,12284,12761,12481,203.11627759050288,477
246.52865734678318,368.85743453283789,300.62767908859928,50.93028344829456,122.32877718605471,12442,12670,12574,96.498704654518548,228
130.90683414501035,421.40325789825346,267.82483267168982,119.17835490480255,290.49642375324311,12500,12885,12720,162.02948977132391,385
140.99451630277898,262.51136498596981,215.85484984303505,53.467607998458185,121.51684868319083,12441,12619,12512,76.997835467412116,178
135.94224606466949,500.38884812686581,296.51855926934849,151.90152003747173,364.44660206219635,12551,13004,12825,196.75873551128549,453
138.82417856625835,453.89630261395342,337.23044651919326,141.01709597548697,315.07212404769507,12503,13029,12683,244.49994319472188,526
243.4462999151348,498.8995533342914,379.31438115792179,104.92200600559406,255.4532534191566,12690,13017,12833,136.41195776845308,327
248.01114294280129,480.59898643938772,401.70720736822653,108.69233970591725,232.58784349658643,12313,12709,12490,164.20380290629353,396
475.14124862656689,495.22998564712321,486.06008428890522,8.2939101020111643,20.088737020556323,12570,12693,12620,52.639233361523118,123
493.67579139051395,499.63239396678131,497.36857918745017,2.6333440687563439,5.9566025762673576,12231,12688,12494,192.84363268375407,457
171.68892372645951,821.05623372669515,466.84779420778131,268.37115409680865,649.36731000023565,12278,12634,12450,145.58388189173507,356
129.82549790160732,2198.0822358028017,837.02794450037288,962.65714200685522,2068.2567379011944,12290,12569,12433,114.03021042201443,279
215.50095953157822,923.64472077141772,453.07824047280252,332.7460211719295,708.14376123983948,12525,12665,12615,63.770421565696637,140
203.66040357847035,418.67615786479536,275.86738113338674,100.98318072183315,215.01575428632501,12436,12618,12546,79.336134404331943,182
67.204266257396469,410.1780704967648,231.60173317071784,140.37696362115304,342.97380423936835,12561,12652,12595,40.554490092549145,91
65.237774188377628,389.43209607276202,223.49809073627526,132.46296013159565,324.19432188438441,12264,12626,12479,155.70556259242062,362
95.810847023938038,215.37653132385779,144.0916891195009,51.451441387526195,119.56568429991975,12135,12389,12284,108.26202781523476,254
116.44599558906569,120.0512654539873,118.20965609795572,1.4728769391468728,3.6052698649216097,12310,12754,12513,183.24300805214915,444
0,0,0,0,0,0,0,0,0,0
65.237774188377628,389.43209607276202,223.49809073627526,132.46296013159565,324.19432188438441,12264,12626,12479,155.70556259242062,362
95.810847023938038,215.37653132385779,144.0916891195009,51.451441387526195,119.56568429991975,12135,12389,12284,108.26202781523476,254
116.44599558906569,120.0512654539873,118.20965609795572,1.4728769391468728,3.6052698649216097,12310,12754,12513,183.24300805214915,444
0,0,0,0,0,0,0,0,0,0
217.07007211045968,413.18274560910999,337.59633797941621,86.138409243963608,196.11267349865031,12383,12656,12478,125.52379145891913,273
117.67261067758561,131.40778798072074,124.04453901182985,5.6510064789467238,13.735177303135131,12549,12680,12634,60.609863517051046,131
115.35330520368026,1831.7256239983899,688.10511444068152,808.66218284092406,1716.3723187947096,12175,12751,12367,271.2936088856909,576
103.90512885966056,606.32685914482158,339.68598241441828,206.27029926528411,502.421730285161,12062,12617,12417,251.69425897306439,555
205.68823679458467,467.74710876709935,324.41942375572239,108.38958708328728,262.05887197251468,12347,12916,12664,236.98148075793227,569
242.89263869953314,462.45045329610213,356.5116469896389,89.798469231524209,219.55781459656899,12472,12671,12560,82.673386823625947,199
388.38189374666592,410.58128927702842,400.65994513726861,9.2148012197044924,22.199395530362494,12125,12659,12414,220.21353273584256,534
189.72829018357103,516.64614737474494,327.38781207634798,138.36100003557888,326.91785719117388,12115,12667,12479,257.66170758487874,552
494.20067278788281,500.70004698945309,496.61897613167974,2.9021903345761317,6.4993742015702765,12446,12849,12616,170.44842817305963,403
86.777533869580225,499.31135836731704,361.63322723199326,194.35243206197612,412.53382449773682,12387,12657,12510,111.52578177264664,270
122.88763758882503,479.5204428358453,257.81098448891527,157.99917995491251,356.63280524702026,12481,12744,12604,107.93928334433619,263
147.14159476038878,399.41740688785774,265.12235659137326,103.63522037172872,252.27581212746895,12516,12770,12618,109.40546401142657,254
103.90762353549746,206.72814424481916,152.53287719174864,42.160674066911959,102.8205207093217,12201,12653,12426,184.52882942480528,452
153.37637704284055,470.8822903201667,353.86887451365448,142.42909124228242,317.50591327732616,12464,12677,12577,87.492221876512488,213
108.50398101094979,441.40592121695704,230.45322982627178,149.77123676000122,332.90194020600723,12202,12924,12472,321.62504048451621,722
144.99321339745296,442.39914608373533,272.65879304226979,125.00743208981319,297.40593268628237,12421,12856,12705,201.17377783620034,435
