102-122,1
102-132,1
102-134,1
104-122,1
104-132,1
104-134,1
105-122,1
105-132,1
105-134,1
106-122,1
106-132,1
106-134,1
107-122,1
107-132,1
107-134,1
108-122,1
108-132,1
109-122,1
109-132,1
110-122,1
110-132,1
111-122,1
111-132,1
112-122,1
112-132,1
113-122,1
113-133,2
114-122,1
115-122,1
115-134,1
116-122,1
116-132,1
116-134,1
117-122,1
117-132,1
117-134,1
118-122,1
118-132,1
118-134,1
119-132,1
119-134,1
121-101,1
121-102,2
121-103,1
121-104,2
121-105,2
121-106,2
121-107,2
121-108,2
121-109,2
121-110,2
121-111,2
121-112,2
121-113,1
121-114,2
121-115,2
121-116,2
121-117,2
121-118,2
123-101,1
123-102,2
123-103,1
123-104,2
123-105,1
123-106,2
123-107,2
123-108,2
123-109,2
123-110,2
123-111,1
123-112,2
123-113,2
123-114,2
123-115,2
123-116,2
123-117,2
123-118,2
124-101,1
124-102,2
124-103,1
124-104,2
124-105,2
124-106,2
124-107,2
124-108,2
124-109,2
124-110,2
124-111,2
124-112,2
124-113,2
124-114,2
124-115,2
124-116,2
124-117,2
124-118,1
124-119,1
125-101,1
125-102,1
125-103,1
125-104,1
125-105,1
125-106,1
125-107,1
125-108,1
125-110,1
125-111,1
125-112,1
125-113,1
125-114,1
125-115,1
125-116,1
125-117,1
125-118,1
125-119,1
126-101,1
126-102,1
126-103,1
126-104,1
126-105,1
126-106,1
126-107,1
126-108,1
126-110,1
126-111,1
126-112,1
126-113,1
126-114,1
126-115,1
126-116,1
126-117,1
126-118,1
126-119,1
127-101,1
127-102,2
127-103,1
127-104,1
127-105,2
127-106,1
127-107,2
127-108,2
127-110,1
127-111,2
127-112,2
127-113,1
127-114,1
127-115,1
127-116,2
127-117,2
127-118,1
127-119,2
128-101,1
128-102,2
128-103,1
128-104,2
128-105,2
128-106,2
128-107,2
128-108,1
128-110,2
128-111,1
128-112,2
128-113,2
128-114,1
128-115,2
128-116,1
128-117,1
128-118,2
128-119,1
129-101,1
129-102,2
129-103,1
129-104,2
129-105,1
129-106,1
129-107,2
129-108,2
129-109,2
129-110,1
129-111,2
129-112,2
129-113,2
129-114,2
129-115,2
129-116,2
129-117,2
129-118,2
129-119,2
130-101,1
130-102,2
130-103,1
130-104,1
130-105,2
130-106,2
130-107,2
130-108,2
130-109,2
130-110,2
130-111,1
130-112,2
130-113,1
130-114,2
130-115,2
130-116,1
130-117,2
130-118,2
130-119,2
131-101,1
131-102,2
131-103,1
131-104,1
131-105,1
131-106,1
131-107,2
131-108,2
131-109,1
131-110,2
131-111,1
131-112,1
131-113,2
131-114,1
131-115,2
131-116,2
131-117,2
131-118,2
131-119,2
132-113,2
132-114,1
132-115,2
133-101,1
133-102,1
133-104,1
133-105,2
133-106,2
133-107,2
133-108,2
133-109,2
133-110,2
133-111,2
133-112,2
133-114,1
133-115,2
133-116,1
133-117,2
133-118,2
133-119,2
134-108,2
134-109,2
134-110,2
134-111,2
134-112,2
134-113,1
134-114,1
135-101,1
135-102,2
135-103,1
135-104,1
135-105,2
135-106,2
135-107,2
135-108,2
135-109,2
135-110,2
135-111,2
135-112,2
135-113,2
135-114,2
135-115,2
135-116,2
135-117,2
135-118,2
135-119,1
136-101,1
136-102,2
136-103,1
136-104,2
136-105,2
136-106,2
136-107,2
136-108,2
136-109,2
136-110,1
136-111,2
136-112,2
136-113,2
136-114,2
136-115,2
136-116,2
136-117,2
136-118,1
136-119,1
137-101,1
137-102,1
137-103,1
137-104,2
137-105,2
137-106,2
137-107,1
137-108,1
137-109,2
137-110,1
137-111,2
137-112,2
137-113,2
137-114,2
137-115,1
137-116,2
137-117,2
137-118,2
137-119,1
138-101,1
138-102,2
138-103,1
138-104,2
138-105,1
138-106,2
138-107,2
138-108,2
138-109,2
138-110,2
138-111,2
138-112,1
138-113,2
138-114,2
138-115,2
138-116,2
138-117,1
138-118,1
138-119,2
139-101,1
139-102,2
139-103,1
139-104,1
139-105,1
139-106,2
139-107,1
139-108,1
139-109,2
139-110,1
139-111,2
139-112,2
139-113,2
139-114,1
139-115,2
139-116,2
139-117,2
139-118,1
201-228,1
201-233,1
203-228,1
204-228,1
205-228,1
206-228,1
207-228,1
208-228,1
209-228,1
209-237,2
209-238,1
211-228,1
211-234,1
212-228,1
213-221,1
213-228,1
213-233,1
214-221,1
214-228,1
214-233,1
215-228,1
215-233,1
217-228,1
217-233,1
218-228,1
218-233,1
219-228,1
219-233,1
220-228,1
220-233,1
221-200,1
221-201,2
221-203,1
221-204,1
221-205,2
221-206,2
221-207,2
221-208,2
221-209,2
221-210,1
221-211,2
221-212,2
221-215,1
221-217,2
221-218,2
221-219,2
221-220,2
222-200,1
222-201,2
222-203,1
222-204,1
222-205,2
222-206,2
222-207,2
222-208,2
222-209,2
222-210,1
222-211,2
222-212,2
222-213,2
222-214,2
222-215,2
222-217,2
222-218,2
222-219,2
222-220,2
223-200,1
223-201,1
223-203,1
223-204,1
223-205,1
223-206,1
