102_121,5.84
102_122,1.1
102_123,47.34
102_124,4.32
102_125,0.93
102_126,0.15
102_127,3.13
102_128,-2.98
102_129,-0.81
102_130,-1.03
102_131,19.9
102_133,0.05
102_135,0.83
102_136,1.71
102_137,-0.16
102_138,0.57
102_139,-0.97
104_121,-2.24
104_122,-3.03
104_123,-4.09
104_124,-3.95
104_125,0.8
104_126,-0.73
104_127,0.74
104_128,2.07
104_129,-20
104_130,0.19
104_131,0.73
104_133,-1.42
104_135,-0.71
104_136,-1.22
104_137,-1.53
104_138,-0.07
104_139,2.92
105_121,-2.48
105_122,1.45
105_123,0.04
105_124,-1.48
105_125,-14.93
105_126,-12.44
105_127,-19.79
105_128,-5.38
105_129,-0.88
105_130,-1.62
105_131,-0.34
105_135,-170.85
105_136,-8.28
105_137,-3.66
105_138,-0.52
105_139,-7.17
106_121,-3.37
106_122,2.37
106_123,-4.56
106_124,-3.99
106_125,2.74
106_126,-9.42
106_127,-0.6
106_128,-13.52
106_129,-1.57
106_130,-7.38
106_131,-0.41
106_133,-2.72
106_135,-3.89
106_136,-8.82
106_137,-1.09
106_138,-0.8
106_139,2.42
107_121,-6.83
107_122,-2.89
107_123,9.23
107_124,-0.07
107_125,3.26
107_126,6.33
107_127,-2.65
107_128,-0.95
107_129,-3.07
107_130,-4.46
107_131,-9.18
107_133,-1.13
107_135,-3.54
107_136,-2
107_137,-3.18
107_138,-0.27
107_139,-3.15
108_121,1.2
108_122,4.09
108_123,3.06
108_124,5.87
108_125,5.03
108_126,-28.51
108_127,15.44
108_128,-0.04
108_129,2.3
108_130,-7.56
108_131,-2.62
108_133,-3.78
108_134,2.9
108_135,-1.76
108_136,-1.89
108_137,3.43
108_138,4.65
108_139,-4.35
109_121,-5.13
109_122,-0.62
109_123,-7.47
109_124,-5.81
109_129,-3.73
109_130,-2.04
109_131,0.53
109_133,0.54
109_134,-3
109_135,-2.36
109_136,1.51
109_137,-2.01
109_138,3.77
109_139,1.21
110_121,-140.14
110_122,-1.67
110_123,0.69
110_124,-4.64
110_125,5.16
110_126,9.81
110_127,4.57
110_128,0.77
110_129,-0.72
110_130,-17.57
110_131,7.82
110_133,-0.58
110_134,-1.11
110_135,-0.67
110_136,-0.36
110_137,-4.57
110_138,-1.06
110_139,-0.35
111_121,-1.31
111_122,-3.87
111_123,-0.09
111_124,1.02
111_125,3.7
111_126,-3.29
111_127,2.65
111_128,0.59
111_129,-1.54
111_130,-0.09
111_131,0.6
111_133,-5.67
111_134,-0.64
111_135,1.08
111_136,-0.53
111_137,-6.12
111_138,1.82
111_139,1
112_121,17.55
112_123,1.49
112_124,-4.17
112_125,2.73
112_126,9.59
112_127,-8.45
112_128,-1.18
112_129,2.57
112_130,-13.74
112_131,0.26
112_133,-3.24
112_134,-2.27
112_135,-9.53
112_136,2.69
112_137,0.37
112_138,-0.42
112_139,0.98
113_121,-0.13
113_122,-1.27
113_123,23.8
113_124,-4.91
113_125,-2.57
113_126,8.36
113_127,1.3
113_128,-15.22
113_129,19.7
113_130,0.26
113_131,-4.54
113_132,-5.45
113_133,1.03
113_134,-0.07
113_135,-2.26
113_136,-1.84
113_137,0.89
113_138,-0.8
113_139,-1.55
114_121,-1.16
114_122,-0.95
114_123,0.57
114_124,5.1
114_125,7.21
114_126,-0.79
114_127,1.16
114_128,-0.15
114_129,-1.02
114_130,-4.56
114_131,0.58
114_132,0.37
114_134,0.42
114_135,-3.97
114_136,-2.35
114_137,-2.2
114_138,-3.16
114_139,0.97
115_121,10.89
115_122,-0.18
115_123,6.5
115_124,9.8
115_125,-1.54
115_126,2.6
115_127,4.99
115_128,-1.09
115_129,2.23
115_130,-2.75
115_131,-4.01
115_132,-93.35
115_133,-1.68
115_135,-0.88
115_136,-2.13
115_137,0.77
115_138,0
115_139,-14.04
116_121,32.47
116_122,12.75
116_123,-4.17
116_124,15.62
116_125,23.06
116_126,5.95
116_127,74.82
116_128,-0.39
116_129,2.36
116_130,-0.3
116_131,-3.64
116_133,-0.22
116_135,-3.34
116_136,-1.7
116_137,-0.74
116_138,-3.9
116_139,-1.28
117_121,-3.34
117_122,2.51
117_123,5.05
117_124,5.71
117_125,5.12
117_126,1.46
117_127,1.48
117_128,-0.07
117_129,3.98
117_130,-10.68
117_131,-0.92
117_133,-1.67
117_135,1.6
117_136,-5.08
117_137,1.18
117_138,-0.84
117_139,2.21
118_121,-2.03
118_122,-0.07
118_123,6.14
118_124,-0.75
118_125,0.26
118_126,-3.61
118_127,-0.66
118_128,2.51
118_129,-1.03
118_130,-1.87
118_131,-4.35
118_133,0.77
118_135,-2.27
118_136,0.19
118_137,-3.26
118_138,-1.64
118_139,1.49
119_125,-0.25
119_126,2.32
119_127,1.59
119_128,-0.54
119_129,6.67
119_130,-130.69
119_131,-9
119_133,-4.43
119_135,0.3
119_136,-0.29
119_137,0.25
119_138,-0.89
201_221,-4.764
201_222,1.58
201_223,-12.67
201_224,-9.13
201_226,-14.48
201_227,-2.53
201_229,2.04
201_230,5.81
201_231,1.62
201_232,-0.97
201_234,-3.04
201_235,3.55
201_236,-99.88
201_237,0.95
201_238,1.75
201_239,6.48
201_240,-2.23
203_221,-0.19
203_222,0.67
203_223,0.05
203_224,3.37
203_226,-1.57
203_227,-0.75
203_229,2.55
203_230,-1.58
203_231,-0.1
203_232,9.1
203_233,2.07
203_235,0.69
203_236,-18.96
203_237,0.53
203_238,42.11
203_239,1.19
203_240,-2.37
204_221,-1.93
204_222,4.67
204_223,-10.32
204_224,-20.15
204_226,-4.33
204_227,0.25
204_229,-0.51
204_230,-5.37
204_231,-1.13
204_232,-1.64
204_233,3.33
204_234,-1.13
204_235,-1.48
204_236,-1.59
204_237,-165.14
204_238,-0.26
204_239,2.08
204_240,0.67
205_221,-1.93
205_222,2.466
205_223,-4.013
205_224,6.972
205_226,0.848
205_227,0.586
205_229,1.167
205_230,-2.862
205_231,-2.431
205_232,0.893
205_233,-2.037
205_234,-11.91
205_235,2.142
205_236,-2.736
205_237,1.123
205_238,1.514
205_239,3.52
205_240,-6.197
206_221,-1.855
206_222,1.779
206_223,1.495
206_224,-6.46
206_226,0.348
206_227,0.088
206_229,1.833
206_230,-2.595
206_231,-2.407
206_232,-4.487
206_233,-4.702
206_234,-1.749
206_235,5.248
206_236,-1.508
206_237,2.259
206_238,-2.696
206_239,1.352
206_240,-2.412
207_221,-6.126
207_222,-0.167
207_223,-2.233
207_224,1.149
207_226,-3.715
207_227,-0.454
207_230,-0.409
207_231,7.729
207_233,-2.383
207_234,3.239
207_235,4.68
207_236,-9.726
207_237,-9.795
207_238,-1.755
207_239,0.255
207_240,0.489
208_221,-11.972
208_222,-8.554
208_223,-8.507
